run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B4_s0010_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0010,111,0,none,7.495,1455,126,0.0,False,,2026-07-24T12:42:23,3145.6
B5_s0010_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0010,111,0,none,8.402,1287,122,0.0,False,,2026-07-24T12:42:32,3145.6
B6_s0010_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0010,111,0,none,9.814,796,135,0.0,False,,2026-07-24T12:42:42,3145.6
B7_s0010_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0010,111,0,none,48.35,1696,618,0.0,False,,2026-07-24T12:43:31,3145.6
B8_s0010_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0010,111,0,none,7.724,673,116,0.0,False,,2026-07-24T12:43:39,3145.6
B1_s0011_s42,ai4i_openai,B1,local,openai,42,s0011,123,0,none,0.0,0,0,0.0,False,,2026-07-24T12:43:40,3145.6
B2_s0011_s42,ai4i_openai,B2,local,openai,42,s0011,123,0,none,0.0,0,0,0.0,False,,2026-07-24T12:43:40,3145.6
B3_s0011_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0011,123,0,none,11.62,518,157,0.0,False,,2026-07-24T12:43:51,3145.6
B4_s0011_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0011,123,0,none,8.166,1456,103,0.0,False,,2026-07-24T12:44:00,3145.6
B5_s0011_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0011,123,0,none,12.648,1289,123,0.0,False,,2026-07-24T12:44:13,3145.6
B6_s0011_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0011,123,0,none,18.095,797,221,0.0,False,,2026-07-24T12:44:31,3145.6
B7_s0011_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0011,123,0,none,61.89,1875,793,0.0,False,,2026-07-24T12:45:33,3145.6
B8_s0011_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0011,123,0,none,10.455,674,116,0.0,False,,2026-07-24T12:45:44,3145.6
B1_s0012_s42,ai4i_openai,B1,local,openai,42,s0012,264,0,none,0.0,0,0,0.0,False,,2026-07-24T12:45:45,3145.6
B2_s0012_s42,ai4i_openai,B2,local,openai,42,s0012,264,0,none,0.0,0,0,0.0,False,,2026-07-24T12:45:45,3145.6
B3_s0012_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0012,264,0,none,18.299,517,213,0.0,False,,2026-07-24T12:46:03,3145.6
B4_s0012_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0012,264,0,none,11.388,1455,151,0.0,False,,2026-07-24T12:46:15,3145.6
B5_s0012_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0012,264,0,none,11.576,1287,116,0.0,False,,2026-07-24T12:46:27,3145.6
B6_s0012_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0012,264,0,none,7.067,796,117,0.0,False,,2026-07-24T12:46:34,3145.6
B7_s0012_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0012,264,0,none,39.514,1589,504,0.0,False,,2026-07-24T12:47:14,3145.6
B8_s0012_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0012,264,0,none,14.653,673,117,0.0,False,,2026-07-24T12:47:29,3145.6
B1_s0013_s42,ai4i_openai,B1,local,openai,42,s0013,272,0,none,0.0,0,0,0.0,False,,2026-07-24T12:47:29,3145.6
B2_s0013_s42,ai4i_openai,B2,local,openai,42,s0013,272,0,none,0.0,0,0,0.0,False,,2026-07-24T12:47:29,3145.6
B3_s0013_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0013,272,0,none,15.617,518,175,0.0,False,,2026-07-24T12:47:45,3145.6
B4_s0013_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0013,272,0,none,15.121,1456,97,0.0,False,,2026-07-24T12:48:00,3145.6
B5_s0013_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0013,272,0,none,13.194,1289,125,0.0,False,,2026-07-24T12:48:14,3145.6
B6_s0013_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0013,272,0,none,10.429,797,125,0.0,False,,2026-07-24T12:48:25,3145.6
B7_s0013_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0013,272,0,none,51.307,1626,569,0.0,False,,2026-07-24T12:49:16,3145.6
B8_s0013_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0013,272,0,none,9.631,674,117,0.0,False,,2026-07-24T12:49:26,3145.6
B1_s0014_s42,ai4i_openai,B1,local,openai,42,s0014,317,0,none,0.0,0,0,0.0,False,,2026-07-24T12:49:27,3145.6
B2_s0014_s42,ai4i_openai,B2,local,openai,42,s0014,317,0,none,0.0,0,0,0.0,False,,2026-07-24T12:49:27,3145.6
B3_s0014_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0014,317,0,none,13.267,519,197,0.0,False,,2026-07-24T12:49:40,3145.6
B4_s0014_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0014,317,0,none,16.561,1457,147,0.0,False,,2026-07-24T12:49:57,3145.6
B5_s0014_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0014,317,0,none,10.207,1291,108,0.0,False,,2026-07-24T12:50:08,3145.6
B6_s0014_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0014,317,0,none,13.485,798,139,0.0,False,,2026-07-24T12:50:21,3145.6
B7_s0014_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0014,317,0,none,42.687,1574,509,0.0,False,,2026-07-24T12:51:04,3145.6
B8_s0014_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0014,317,0,none,11.025,675,117,0.0,False,,2026-07-24T12:51:16,3145.6
B1_s0015_s42,ai4i_openai,B1,local,openai,42,s0015,324,0,none,0.0,0,0,0.0,False,,2026-07-24T12:51:16,3145.6
B2_s0015_s42,ai4i_openai,B2,local,openai,42,s0015,324,0,none,0.0,0,0,0.0,False,,2026-07-24T12:51:16,3145.6
B3_s0015_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0015,324,0,none,9.615,520,150,0.0,False,,2026-07-24T12:51:26,3145.6
B4_s0015_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0015,324,0,none,13.445,1458,126,0.0,False,,2026-07-24T12:51:40,3145.6
B5_s0015_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0015,324,0,none,6.829,1293,114,0.0,False,,2026-07-24T12:51:47,3145.6
B6_s0015_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0015,324,0,none,11.304,799,129,0.0,False,,2026-07-24T12:51:58,3145.6
B7_s0015_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0015,324,0,none,38.832,1561,492,0.0,False,,2026-07-24T12:52:38,3145.6
B8_s0015_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0015,324,0,none,8.704,676,120,0.0,False,,2026-07-24T12:52:47,3145.6
B1_s0016_s42,ai4i_openai,B1,local,openai,42,s0016,335,0,none,0.0,0,0,0.0,False,,2026-07-24T12:52:47,3145.6
B2_s0016_s42,ai4i_openai,B2,local,openai,42,s0016,335,0,none,0.0,0,0,0.0,False,,2026-07-24T12:52:47,3145.6
B3_s0016_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0016,335,0,none,13.36,518,232,0.0,False,,2026-07-24T12:53:00,3145.6
B4_s0016_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0016,335,0,none,14.431,1456,126,0.0,False,,2026-07-24T12:53:15,3145.6
B5_s0016_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0016,335,0,none,10.953,1289,128,0.0,False,,2026-07-24T12:53:27,3145.6
B6_s0016_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0016,335,0,none,19.459,797,163,0.0,False,,2026-07-24T12:53:46,3145.6
B7_s0016_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0016,335,0,none,42.412,1622,554,0.0,False,,2026-07-24T12:54:29,3145.6
B8_s0016_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0016,335,0,none,7.375,674,118,0.0,False,,2026-07-24T12:54:37,3145.6
B1_s0017_s42,ai4i_openai,B1,local,openai,42,s0017,374,0,none,0.0,0,0,0.0,False,,2026-07-24T12:54:37,3145.6
B2_s0017_s42,ai4i_openai,B2,local,openai,42,s0017,374,0,none,0.0,0,0,0.0,False,,2026-07-24T12:54:37,3145.6
B3_s0017_s42,ai4i_openai,B3,glm-4-flash,openai,42,s0017,374,0,none,12.103,519,143,0.0,False,,2026-07-24T12:54:49,3145.6
B4_s0017_s42,ai4i_openai,B4,glm-4-flash,openai,42,s0017,374,0,none,7.64,1457,80,0.0,False,,2026-07-24T12:54:57,3145.6
B5_s0017_s42,ai4i_openai,B5,glm-4-flash,openai,42,s0017,374,0,none,16.618,1291,128,0.0,False,,2026-07-24T12:55:14,3145.6
B6_s0017_s42,ai4i_openai,B6,glm-4-flash,openai,42,s0017,374,0,none,13.976,798,200,0.0,False,,2026-07-24T12:55:29,3145.6
B7_s0017_s42,ai4i_openai,B7,glm-4-flash,openai,42,s0017,374,0,none,47.19,1571,512,0.0,False,,2026-07-24T12:56:16,3145.6
B8_s0017_s42,ai4i_openai,B8,glm-4-flash,openai,42,s0017,374,0,none,7.069,675,148,0.0,False,,2026-07-24T12:56:24,3145.6
B1_s0018_s42,ai4i_openai,B1,local,openai,42,s0018,431,0,none,0.0,0,0,0.0,False,,2026-07-24T12:56:24,3145.6
B2_s0018_s42,ai4i_openai,B2,local,openai,42,s0018,431,0,none,0.0,0,0,0.0,False,,2026-07-24T12:56:24,3145.6
